zpid,streetName,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,zestimate,rentZestimate,isPreforeclosureAuction,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,is_newHome,newConstructionType,datePriceChanged,priceReduction,priceChange,is_openHouse,openHouse,open_house_showing,imgSrc,homeDetailUrl,price_to_rent_ratio
21179842,6132 Wolfe St,Lakewood,CA,90713,33.857235,-118.11196,760000,2,3,1339,SINGLE_FAMILY,FOR_SALE,-1,772000,3699,FALSE,FALSE,USD,USA,356275,6631,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/06cdf253d5e229236db04d40b48ce158-p_e.jpg,https://www.zillow.com/homedetails/6132-Wolfe-St-Lakewood-CA-90713/21179842_zpid/,208.7050554203839
21286192,813 E Lincoln St,Carson,CA,90745,33.807835,-118.25972,759000,4,6,1422,SINGLE_FAMILY,FOR_SALE,-1,769200,3750,FALSE,FALSE,USD,USA,578146,5092.164,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/a7df44f430a5249ce51d252c64e88146-p_e.jpg,https://www.zillow.com/homedetails/813-E-Lincoln-St-Carson-CA-90745/21286192_zpid/,205.12
21253612,1629 E 215th Pl,Carson,CA,90745,33.83336,-118.24309,680000,2,4,1225,SINGLE_FAMILY,FOR_SALE,-1,688900,3599,FALSE,FALSE,USD,USA,56968,6002,sqft,,,,,,TRUE,Sat. 10am-2pm,"[{'open_house_start': 1704564000000, 'open_house_end': 1704578400000}]",https://photos.zillowstatic.com/fp/b0c5c5ed55b6e015736334b3ee7bc550-p_e.jpg,https://www.zillow.com/homedetails/1629-E-215th-Pl-Carson-CA-90745/21253612_zpid/,191.41428174492916
21257392,923 E Joel St,Carson,CA,90745,33.82492,-118.25842,729000,2,3,1130,SINGLE_FAMILY,FOR_SALE,-1,750400,3458,FALSE,FALSE,USD,USA,614905,5448,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/7cdc6c1fa692be55ba4c34afc5b607a3-p_e.jpg,https://www.zillow.com/homedetails/923-E-Joel-St-Carson-CA-90745/21257392_zpid/,217.00404858299595
20993350,15604 S Visalia Ave,Compton,CA,90220,33.89066,-118.26126,799000,2,4,1741,SINGLE_FAMILY,FOR_SALE,-1,814000,3999,FALSE,FALSE,USD,USA,599168,5475.492,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/1c1530f33384da16b7d0de48fbc879bb-p_e.jpg,https://www.zillow.com/homedetails/15604-S-Visalia-Ave-Compton-CA-90220/20993350_zpid/,203.55088772193048
21001797,2204 N Anzac Ave,Compton,CA,90222,33.9125,-118.23777,549000,2,3,1470,SINGLE_FAMILY,FOR_SALE,-1,552700,3591,FALSE,FALSE,USD,USA,53430,4999,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/a35f5e7ae1bc4050304735e46d3c8c36-p_e.jpg,https://www.zillow.com/homedetails/2204-N-Anzac-Ave-Compton-CA-90222/21001797_zpid/,153.91255917571706
21248370,43 Paradise Vall N,Carson,CA,90745,33.812447,-118.26249,450000,2,3,1121,SINGLE_FAMILY,FOR_SALE,-1,,2995,FALSE,FALSE,USD,USA,331500,1.0035,acres,,,,,,,,,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=33.81244659423828,-118.26248931884766&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=z5jQ__Zy-j8pV0pz4hM_ibtc-r8=",https://www.zillow.com/homedetails/43-Paradise-Vall-N-Carson-CA-90745/21248370_zpid/,
20998659,1033 W Stockwell St,Compton,CA,90222,33.909332,-118.24459,649900,2,3,1000,SINGLE_FAMILY,FOR_SALE,-1,656300,3489,FALSE,FALSE,USD,USA,29163,5229,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/9580450d44fb9a83f80f250e6d7d59d9-p_e.jpg,https://www.zillow.com/homedetails/1033-W-Stockwell-St-Compton-CA-90222/20998659_zpid/,188.1054743479507
21466669,16030 La Calma Dr,Whittier,CA,90603,33.94898,-117.988014,790000,2,3,1435,SINGLE_FAMILY,FOR_SALE,-1,806800,3785,FALSE,FALSE,USD,USA,148721,9826,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/d3ef5dc6b66e4ad91aacb28907690037-p_e.jpg,https://www.zillow.com/homedetails/16030-La-Calma-Dr-Whittier-CA-90603/21466669_zpid/,213.1571994715984
21170297,5127 Elderhall Ave,Lakewood,CA,90712,33.849674,-118.16721,740000,2,3,1604,SINGLE_FAMILY,FOR_SALE,-1,754800,3849,FALSE,FALSE,USD,USA,669878,4701,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/556428bf68e8c5588ea2b5e87c78c046-p_e.jpg,https://www.zillow.com/homedetails/5127-Elderhall-Ave-Lakewood-CA-90712/21170297_zpid/,196.1028838659392
21130421,20019 Jersey Ave,Lakewood,CA,90715,33.84843,-118.086205,789000,2,3,1058,SINGLE_FAMILY,FOR_SALE,-1,801300,3981,FALSE,FALSE,USD,USA,74451,5097,sqft,,,,,,TRUE,Sat. 1-4pm,"[{'open_house_start': 1704574800000, 'open_house_end': 1704585600000}, {'open_house_start': 1704661200000, 'open_house_end': 1704672000000}]",https://photos.zillowstatic.com/fp/9d985e0b858096471a5d67cadc680cf1-p_e.jpg,https://www.zillow.com/homedetails/20019-Jersey-Ave-Lakewood-CA-90715/21130421_zpid/,201.2810851544838
59249122,8492 Millergrove Dr,Whittier,CA,90606,33.966454,-118.078766,819000,3,4,1578,SINGLE_FAMILY,FOR_SALE,-1,815400,3750,FALSE,FALSE,USD,USA,800000,4007,sqft,,,1.70436E+12,"$10,000 (Jan 4)",-10000,TRUE,Sun. 1-4pm,"[{'open_house_start': 1704661200000, 'open_house_end': 1704672000000}]",https://photos.zillowstatic.com/fp/0537334b71e80c28a28575d32459a49c-p_e.jpg,https://www.zillow.com/homedetails/8492-Millergrove-Dr-Whittier-CA-90606/59249122_zpid/,217.44
21167108,2846 Del Amo Blvd,Lakewood,CA,90712,33.846695,-118.15675,800000,2,3,1371,SINGLE_FAMILY,FOR_SALE,-1,814200,3524,FALSE,FALSE,USD,USA,722419,5002,sqft,,,1.70021E+12,,25000,,,,https://photos.zillowstatic.com/fp/894016c02da3d3304cd73503f4b628a1-p_e.jpg,https://www.zillow.com/homedetails/2846-Del-Amo-Blvd-Lakewood-CA-90712/21167108_zpid/,231.04426787741204
21003690,13610 S Vesta Ave,Compton,CA,90222,33.909046,-118.22901,475000,2,4,870,SINGLE_FAMILY,FOR_SALE,-1,471300,3284,FALSE,FALSE,USD,USA,365617,3207,sqft,,,1.70427E+12,"$61,750 (Jan 3)",-61750,,,,https://photos.zillowstatic.com/fp/32cb802588a85e9a83fe96858fadd181-p_e.jpg,https://www.zillow.com/homedetails/13610-S-Vesta-Ave-Compton-CA-90222/21003690_zpid/,143.51400730816079
21182905,4323 Radnor Ave,Lakewood,CA,90713,33.83685,-118.118576,850000,2,3,1578,SINGLE_FAMILY,FOR_SALE,-1,849600,3896,FALSE,FALSE,USD,USA,438493,5092,sqft,,,1.70133E+12,"$25,000 (Nov 30)",-25000,,,,https://photos.zillowstatic.com/fp/3d25f476879ba3c53150e098b2496da5-p_e.jpg,https://www.zillow.com/homedetails/4323-Radnor-Ave-Lakewood-CA-90713/21182905_zpid/,218.06981519507187
21464945,10644 Avonbury Ave,Whittier,CA,90603,33.93884,-117.98989,845000,2,3,1290,SINGLE_FAMILY,FOR_SALE,-1,854800,3571,FALSE,FALSE,USD,USA,81703,6423,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/374c0b4a59a87335e747850e45385dc1-p_e.jpg,https://www.zillow.com/homedetails/10644-Avonbury-Ave-Whittier-CA-90603/21464945_zpid/,239.37272472696725
21004800,356 W Elm St,Compton,CA,90220,33.900402,-118.22952,788000,3,4,2562,SINGLE_FAMILY,FOR_SALE,-1,782300,4495,FALSE,FALSE,USD,USA,605792,5000,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/3128df318129ba396b81291f0234912f-p_e.jpg,https://www.zillow.com/homedetails/356-W-Elm-St-Compton-CA-90220/21004800_zpid/,174.03781979977754
21407429,12137 Cheshire St,Norwalk,CA,90650,33.890633,-118.0741,640000,2,3,883,SINGLE_FAMILY,FOR_SALE,-1,652000,3285,FALSE,FALSE,USD,USA,352321,2587.464,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/813b3d9fb23649f7506a030468fbcd03-p_e.jpg,https://www.zillow.com/homedetails/12137-Cheshire-St-Norwalk-CA-90650/21407429_zpid/,198.4779299847793
21436133,9926 Calmada Ave,Whittier,CA,90605,33.945007,-118.04149,844900,2,3,1938,SINGLE_FAMILY,FOR_SALE,-1,848500,3900,FALSE,FALSE,USD,USA,599630,6437,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/01cff0359e932b238d46b65ac6073dcb-p_e.jpg,https://www.zillow.com/homedetails/9926-Calmada-Ave-Whittier-CA-90605/21436133_zpid/,217.56410256410257
21433524,10834 Valley View Ave,Whittier,CA,90604,33.93303,-118.02374,745000,2,4,1102,SINGLE_FAMILY,FOR_SALE,-1,767400,3484,FALSE,FALSE,USD,USA,599678,6197,sqft,,,,,,TRUE,1/14 12-3pm,"[{'open_house_start': 1705262400000, 'open_house_end': 1705273200000}]",https://photos.zillowstatic.com/fp/8ecb11f8e76f0969fb943e5253d1fcaa-p_e.jpg,https://www.zillow.com/homedetails/10834-Valley-View-Ave-Whittier-CA-90604/21433524_zpid/,220.26406429391503
21376835,11924 Louis Ave,Whittier,CA,90605,33.92294,-118.04755,729900,2,3,1130,SINGLE_FAMILY,FOR_SALE,-1,743000,3449,FALSE,FALSE,USD,USA,214186,6852,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/716675fcd6d06e2680d1782a9fd0e8cd-p_e.jpg,https://www.zillow.com/homedetails/11924-Louis-Ave-Whittier-CA-90605/21376835_zpid/,215.42476080023195
21427892,6236 Gretna Ave,Whittier,CA,90601,33.985226,-118.053246,725000,2,4,906,MULTI_FAMILY,FOR_SALE,-1,741400,2092,FALSE,FALSE,USD,USA,602374,5123,sqft,,,,,,TRUE,Sun. 12-2pm,"[{'open_house_start': 1704657600000, 'open_house_end': 1704664800000}]",https://photos.zillowstatic.com/fp/1798b26f8ea1249496a05c563f66bbcb-p_e.jpg,https://www.zillow.com/homedetails/6236-Gretna-Ave-Whittier-CA-90601/21427892_zpid/,354.3977055449331
21251880,19414 Campaign Dr,Carson,CA,90746,33.855125,-118.25884,849000,2,4,1596,SINGLE_FAMILY,FOR_SALE,-1,842200,3800,FALSE,FALSE,USD,USA,569352,5902,sqft,,,1.70436E+12,"$10,999 (Jan 4)",-10999,,,,https://photos.zillowstatic.com/fp/7a7fa7f736db044ad922d0cc9413201d-p_e.jpg,https://www.zillow.com/homedetails/19414-Campaign-Dr-Carson-CA-90746/21251880_zpid/,221.6315789473684
68986333,1923 E Canova Ln,Compton,CA,90221,33.9059,-118.20216,739000,3,3,1920,SINGLE_FAMILY,FOR_SALE,-1,740800,3949,FALSE,FALSE,USD,USA,685000,3820,sqft,,,1.70168E+12,"$11,000 (Dec 4)",-11000,TRUE,Sat. 12-4pm,"[{'open_house_start': 1704571200000, 'open_house_end': 1704585600000}, {'open_house_start': 1704661200000, 'open_house_end': 1704672000000}]",https://photos.zillowstatic.com/fp/341cec03c45ae41a6a386c659f4c502f-p_e.jpg,https://www.zillow.com/homedetails/1923-E-Canova-Ln-Compton-CA-90221/68986333_zpid/,187.5917953912383
20994308,16306 Haskins Ln,Carson,CA,90746,33.88397,-118.26061,725000,2,4,1638,SINGLE_FAMILY,FOR_SALE,-1,726100,3914,FALSE,FALSE,USD,USA,58138,5571,sqft,,,1.70306E+12,,10000,,,,https://photos.zillowstatic.com/fp/c4d8d9317fd9ce5f209e7ea0078e5346-p_e.jpg,https://www.zillow.com/homedetails/16306-Haskins-Ln-Carson-CA-90746/20994308_zpid/,185.51354113438938
21386413,11628 Groveside Ave,Whittier,CA,90604,33.92589,-117.98625,849900,2,3,1382,SINGLE_FAMILY,FOR_SALE,-1,878300,3529,FALSE,FALSE,USD,USA,644155,6564,sqft,,,,,,TRUE,Sat. 11am-1pm,"[{'open_house_start': 1704567600000, 'open_house_end': 1704574800000}, {'open_house_start': 1704654000000, 'open_house_end': 1704661200000}]",https://photos.zillowstatic.com/fp/b01e990327ff98eb2f680672c9516388-p_e.jpg,https://www.zillow.com/homedetails/11628-Groveside-Ave-Whittier-CA-90604/21386413_zpid/,248.88070274865402
20993450,16222 S Visalia Ave,Carson,CA,90746,33.884674,-118.259865,745000,2,4,1700,SINGLE_FAMILY,FOR_SALE,-1,,3999,FALSE,FALSE,USD,USA,178598,5463,sqft,,,1.6996E+12,,5000,,,,https://photos.zillowstatic.com/fp/ad6e65df1e42a958cce96af14453a35f-p_e.jpg,https://www.zillow.com/homedetails/16222-S-Visalia-Ave-Carson-CA-90746/20993450_zpid/,
21428353,7055 Elmer Ave,Whittier,CA,90602,33.977467,-118.04753,650000,2,3,896,SINGLE_FAMILY,FOR_SALE,-1,,2999,FALSE,FALSE,USD,USA,473027,7029,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/70dfe928019b4072c6d1767469f11eab-p_e.jpg,https://www.zillow.com/homedetails/7055-Elmer-Ave-Whittier-CA-90602/21428353_zpid/,
21442959,11722 Rincon Dr,Whittier,CA,90606,33.97931,-118.053795,749000,3,3,1342,SINGLE_FAMILY,FOR_SALE,-1,736000,3531,FALSE,FALSE,USD,USA,530539,5874,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/08a380ee582805ce57aa80a4df22df27-p_e.jpg,https://www.zillow.com/homedetails/11722-Rincon-Dr-Whittier-CA-90606/21442959_zpid/,208.43953554233929
21251766,19009 Wadley Ave,Carson,CA,90746,33.85784,-118.263145,750000,2,3,1465,SINGLE_FAMILY,FOR_SALE,-1,,3728,FALSE,FALSE,USD,USA,307022,6001,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/871d6c9b757d7e68e85fc10285123033-p_e.jpg,https://www.zillow.com/homedetails/19009-Wadley-Ave-Carson-CA-90746/21251766_zpid/,
21001647,2021 E Lucien St,Compton,CA,90222,33.91077,-118.23568,550000,2,5,1412,SINGLE_FAMILY,FOR_SALE,-1,543300,3599,FALSE,FALSE,USD,USA,578340,4964,sqft,,,1.69545E+12,,-30000,,,,https://photos.zillowstatic.com/fp/8d863d32740f83bcce0eedc36019bc86-p_e.jpg,https://www.zillow.com/homedetails/2021-E-Lucien-St-Compton-CA-90222/21001647_zpid/,150.95859961100305
21177187,5609 Faculty Ave,Lakewood,CA,90712,33.857662,-118.1375,849000,2,3,1306,SINGLE_FAMILY,FOR_SALE,-1,850300,3783,FALSE,FALSE,USD,USA,751740,5127,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/9747e2810ddb418c50ecdcdaf104b348-p_e.jpg,https://www.zillow.com/homedetails/5609-Faculty-Ave-Lakewood-CA-90712/21177187_zpid/,224.76870208828973
21129193,11903 Centralia St,Lakewood,CA,90715,33.839012,-118.07841,800000,2,3,1953,SINGLE_FAMILY,FOR_SALE,-1,,4200,FALSE,FALSE,USD,USA,754800,6943,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/8bdfa931d45148418f6d06f29809da91-p_e.jpg,https://www.zillow.com/homedetails/11903-Centralia-St-Lakewood-CA-90715/21129193_zpid/,
21016791,14538 S Atlantic Ave,Compton,CA,90221,33.900887,-118.19343,670000,2,3,1548,SINGLE_FAMILY,FOR_SALE,-1,,3900,FALSE,FALSE,USD,USA,88640,5035.536,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/ecdc4b76fdfffa9eb237dc655f1027d7-p_e.jpg,https://www.zillow.com/homedetails/14538-S-Atlantic-Ave-Compton-CA-90221/21016791_zpid/,
21252076,19507 Scobey Ave,Carson,CA,90746,33.853996,-118.25577,850000,2,4,1813,SINGLE_FAMILY,FOR_SALE,-1,866900,4039,FALSE,FALSE,USD,USA,207804,5513,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/4ebaac6f84b885c872aba924014ce65d-p_e.jpg,https://www.zillow.com/homedetails/19507-Scobey-Ave-Carson-CA-90746/21252076_zpid/,214.63233473632087
21377702,13841 Imperial Hwy,Whittier,CA,90605,33.91743,-118.03645,794999,2,3,1189,SINGLE_FAMILY,FOR_SALE,-1,792500,3314,FALSE,FALSE,USD,USA,740000,5210,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/014acfd6e01a789241ce84a113a8af79-p_e.jpg,https://www.zillow.com/homedetails/13841-Imperial-Hwy-Whittier-CA-90605/21377702_zpid/,239.13699456849727
20993306,15746 S Visalia Ave,Compton,CA,90220,33.88827,-118.26068,699950,2,3,1070,SINGLE_FAMILY,FOR_SALE,-1,,3399,FALSE,FALSE,USD,USA,509293,5497,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/e21d5d73f1bc23dde86075dd4acd6603-p_e.jpg,https://www.zillow.com/homedetails/15746-S-Visalia-Ave-Compton-CA-90220/20993306_zpid/,
21002753,2423 E Piru St,Compton,CA,90222,33.91091,-118.22617,539000,2,3,1098,SINGLE_FAMILY,FOR_SALE,-1,,3200,FALSE,FALSE,USD,USA,136043,2467,sqft,,,1.70012E+12,"$20,900 (Nov 16)",-20900,,,,https://photos.zillowstatic.com/fp/b0547b6ce6f635312201c275802e0b5b-p_e.jpg,https://www.zillow.com/homedetails/2423-E-Piru-St-Compton-CA-90222/21002753_zpid/,
21000175,1915 E 126th St,Compton,CA,90222,33.91828,-118.238464,595000,2,4,1200,SINGLE_FAMILY,FOR_SALE,-1,,3499,FALSE,FALSE,USD,USA,265116,3630,sqft,,,1.68267E+12,,10000,,,,https://photos.zillowstatic.com/fp/68aa4254eeb67c6a892e5a19761ba05c-p_e.jpg,https://www.zillow.com/homedetails/1915-E-126th-St-Compton-CA-90222/21000175_zpid/,
55198510,13728 Rancho Ln,Whittier,CA,90604,33.93549,-118.03803,838000,3,4,1576,SINGLE_FAMILY,FOR_SALE,-1,839300,3750,FALSE,FALSE,USD,USA,386321,7266,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/e69d55b321f008d28d171e90cdee6603-p_e.jpg,https://www.zillow.com/homedetails/13728-Rancho-Ln-Whittier-CA-90604/55198510_zpid/,223.81333333333333
21002765,2405 E Hatchway St,Compton,CA,90222,33.9102,-118.22637,651000,2,3,1308,SINGLE_FAMILY,FOR_SALE,-1,649200,3584,FALSE,FALSE,USD,USA,124520,4937,sqft,,,1.70289E+12,,6000,,,,https://photos.zillowstatic.com/fp/97ee6b865dbd988f91734e568dfdbacc-p_e.jpg,https://www.zillow.com/homedetails/2405-E-Hatchway-St-Compton-CA-90222/21002765_zpid/,181.13839285714286
21006182,603 W Indigo St,Compton,CA,90220,33.891766,-118.23259,589999,2,3,1398,SINGLE_FAMILY,FOR_SALE,-1,591800,3366,FALSE,FALSE,USD,USA,547722,3136.32,sqft,,,1.70427E+12,"$15,001 (Jan 3)",-15001,TRUE,Sat. 1-4pm,"[{'open_house_start': 1704574800000, 'open_house_end': 1704585600000}]",https://photos.zillowstatic.com/fp/f59ddb51351721d518ca8959ec6f23b5-p_e.jpg,https://www.zillow.com/homedetails/603-W-Indigo-St-Compton-CA-90220/21006182_zpid/,175.81699346405227
21016825,4522 E Rosecrans Ave,Compton,CA,90221,33.9033,-118.19301,599000,2,3,1009,SINGLE_FAMILY,FOR_SALE,-1,618600,3499,FALSE,FALSE,USD,USA,345807,4654,sqft,,,1.70366E+12,$900 (Dec 27),-900,,,,https://photos.zillowstatic.com/fp/5263cbf762334e4b2ea61fd98a8b00f4-p_e.jpg,https://www.zillow.com/homedetails/4522-E-Rosecrans-Ave-Compton-CA-90221/21016825_zpid/,176.79336953415262
21461948,15037 Lindhall Way,Whittier,CA,90604,33.93636,-118.010475,850000,2,3,1851,SINGLE_FAMILY,FOR_SALE,-1,863000,3849,FALSE,FALSE,USD,USA,306662,8617,sqft,,,,,,TRUE,Sun. 12-3pm,"[{'open_house_start': 1704657600000, 'open_house_end': 1704668400000}]",https://photos.zillowstatic.com/fp/250d8862bc4d2d6cb0246e43750ba9a1-p_e.jpg,https://www.zillow.com/homedetails/15037-Lindhall-Way-Whittier-CA-90604/21461948_zpid/,224.21408157963108
21178666,5138 Premiere Ave,Lakewood,CA,90712,33.85194,-118.13046,850000,2,3,1174,SINGLE_FAMILY,FOR_SALE,-1,866700,3513,FALSE,FALSE,USD,USA,328674,5345,sqft,,,,,,TRUE,Sat. 11am-2pm,"[{'open_house_start': 1704567600000, 'open_house_end': 1704578400000}]",https://photos.zillowstatic.com/fp/059d9f14df07254de8742b83a4a60944-p_e.jpg,https://www.zillow.com/homedetails/5138-Premiere-Ave-Lakewood-CA-90712/21178666_zpid/,246.7122117847993
21389966,13308 Roper Ave,Norwalk,CA,90650,33.910175,-118.06019,770000,2,3,1350,SINGLE_FAMILY,FOR_SALE,-1,792700,3599,FALSE,FALSE,USD,USA,256141,5023,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/0973c265bab9a681774edd30ac607c54-p_e.jpg,https://www.zillow.com/homedetails/13308-Roper-Ave-Norwalk-CA-90650/21389966_zpid/,220.25562656293414
21427910,6237 Canobie Ave,Whittier,CA,90601,33.985226,-118.05275,799000,2,4,1654,MULTI_FAMILY,FOR_SALE,-1,809500,3599,FALSE,FALSE,USD,USA,759200,5067,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/ab0a73a89925a5d8a102a380474a6d44-p_e.jpg,https://www.zillow.com/homedetails/6237-Canobie-Ave-Whittier-CA-90601/21427910_zpid/,224.92358988607947
